username,player_id,mens_rating,mens_rd,womens_rating,womens_rd
cbva_camsteen,03e74c08-d7d7-42fc-8155-f938fc8602e1,1549,139,1500,350
cbva_jamolnar,72188805-7e4d-4a56-bb56-11a63b772a15,1435,104,1500,350
cbva_umarhassan,1390d6d2-37e6-4189-872d-f49917e40a2e,1343,110,1500,350
cbva_martianswimmer,f85c7ddd-9c31-4b85-97e8-35d5bd22855b,1291,103,1500,350
cbva_gauchoboy,a2317c54-295e-4a92-af37-7341a4effe1f,1599,140,1500,350
cbva_rwpayton,13f5e5fd-7399-4d70-adda-a6422ba02d68,1490,70,1500,350
cbva_jcilloniz,3fc41672-a6ec-4576-91bc-679f5ee68720,1339,138,1500,350
cbva_cilloniz,d22b189b-d28a-401d-9fb6-cfd116602731,1339,138,1500,350
cbva_fernandolambiasi,1cfa01d5-54b8-4038-8cb1-ea8c5f44d881,1492,113,1500,350
cbva_alexorel,191ae4f1-e731-4bb3-b0f9-eaf9e178a467,1492,113,1500,350
cbva_kadenkav,fbb97a84-f903-4603-a711-9cc7a430ebbe,1433,83,1500,350
cbva_thomasdolak,784e0998-fbfe-4e5c-9fc9-73bfe9e37c01,1393,83,1500,350
cbva_omidniayesh,66a96f88-46be-44f6-b413-0164fc0e94bc,1507,81,1500,350
cbva_natethegreat,049298e4-ba80-4cfe-b4e8-6827a3fba425,1536,89,1500,350
cbva_michaelcrial,ecad44b5-f866-488e-bfb9-5b832cdfb53f,1369,70,1500,350
cbva_vnduarte,ad482249-7d64-41d8-b4ef-167e3bed0dd3,1336,141,1500,350
cbva_arthurjh,c5d81980-c84f-4268-bb0c-54f9f9d1c49c,1419,88,1500,350
cbva_martinjanneau,5e2f772f-1501-4c0d-8cd6-a2f82ce751ba,1397,83,1500,350
cbva_wregimbal,e46ec1a2-a9c1-4573-8226-dcbf1f18a996,1526,79,1500,350
cbva_egangans,7d21ad57-6086-4785-a3e9-f855a12b1024,1391,107,1500,350
cbva_masonbrow,69615b5b-0c54-40e1-a65e-70646db037e6,1491,188,1500,350
cbva_wesleysalzman,f2146986-d069-4c0a-b8d7-346918b3131f,1404,71,1500,350
cbva_ke,9e804cb5-55dd-4490-9c7e-8168528e7f35,1508,68,1500,350
cbva_artdenovo,42641d31-46da-4557-bfc5-e2b06ef315d4,1377,213,1500,350
cbva_ecardenasjr,a9e47058-0663-44c4-a235-ce6d22e3267d,1377,213,1500,350
cbva_bryanvball,bb6e3e11-218e-4e26-bf27-966f102e719e,1503,132,1500,350
cbva_owenyoshimoto,2a5d41a0-19df-4578-8ac8-ee3ff72edb61,1565,106,1500,350
cbva_kaptainkramerica,5b25aad2-7e6b-48b8-8186-c4e79e6f476d,1436,139,1500,350
cbva_prezvani,0a421ed1-6a90-43ac-b923-794e4570f744,1592,68,1500,350
cbva_redrocket,4b532daf-997a-481d-a735-ae179c9bb5ed,1446,113,1500,350
cbva_mcdankfosho,dd4bb3c7-90e5-49b6-942d-e9275c05df15,1446,113,1500,350
cbva_coleaidnik,bafa3da8-b683-4f72-926f-1fbba6d67f12,1738,69,1500,350
cbva_cash,3956ed5b-a0e9-4319-adb5-588679ae600e,1680,72,1500,350
cbva_jejmoran,4231d216-d922-4860-87e8-db1878611108,1582,86,1500,350
cbva_horgemartinez,677f4187-aadc-4569-b9c4-4353653c9a7c,1576,85,1500,350
cbva_miropelletier,0c7e6292-0e33-4fb8-afb8-935f6f26a6a5,1439,189,1500,350
cbva_etiennebelzile,2bc4015e-2140-4c4c-95a6-97ea342d8599,1439,189,1500,350
cbva_willcraft,0048faa9-a4d8-4f4e-b194-52c44fb02290,1573,91,1500,350
cbva_stephenmaxey,71c43a13-61a9-4e9e-9c8d-53c403eeb356,1501,69,1500,350
